symbol,enterprisetorevenue,profitmargins,52 week change,forwardeps,sharesoutstanding,bookvalue,shareshort,sharespercentsharesout,lastfiscalyearend,heldpercentinstitutions,netincomeetocommon,trailingeps,sand52weekchange,pricetobook,heldpercentinsiders,nextfiscalyearend,mostrecentquarter,shortratio,sharesshortpreviousmonthdate,floatshares,beta,enterprisevalue,pricehint,lastsplitdate,dateshortinterest,pegratio,forwardpe,maxage,shortpercentoffloat,sharesshortpriormonth
PG,4.652,0.18107,-0.09623456,6.28,2369700096,18.247,14317829,0.006,1656547200,0.65470004,14286999552,5.77,-0.123556376,8.023785,0.00124,1688083200,1664496000,2.18,11/30/2022,2366948014,0.431461,3.74E+11,2,6/21/2004,1672358400,5.18,23.313694,1,0.006,13454694
NKE,4.031,0.11472999,-0.114201665,3.99,1245670016,9.853,13852307,0.0089,1653955200,0.83822995,5633999872,3.54,-0.123556376,12.831625,0.01255,1685491200,1669766400,1.45,11/30/2022,1229379367,1.086501,1.98E+11,2,12/24/2015,1672358400,6.03,31.686716,1,0.0143,16188464
AAPL,5.668,0.2531,-0.1781047,6.73,15836199936,3.178,124024570,0.0078,1663977600,0.61131,99802996736,6.11,-0.123556376,42.545628,0.00072,1695513600,1663977600,1.53,11/30/2022,15891255395,1.27241,2.24E+12,2,8/31/2020,1672358400,2.52,20.09064,1,0.0078,125719918
CSCO,3.496,0.21997,-0.19249314,3.83,4108100096,9.815,31792766,0.0077,1659139200,0.76248,11502000128,2.77,-0.123556376,4.778401,0.00083,1690675200,1667001600,1.72,11/30/2022,4105063067,0.965817,1.83E+11,2,3/23/2000,1672358400,2,12.245432,1,0.0077,38684395
MSFT,8.508,0.34366,-0.21813661,11.15,7454470144,23.276,38191521,0.0051,1656547200,0.73353994,69788999680,9.29,-0.123556376,10.131037,0.00059,1688083200,1664496000,1.32,11/30/2022,7447838663,0.926403,1.73E+12,2,2/18/2003,1672358400,1.94,21.14888,1,0.0051,40445360
VZ,2.548,0.14222,-0.2514981,5,4199820032,20.827,35239041,0.0084,1640908800,0.63691,19292000256,4.6,-0.123556376,1.9191436,0.00024,1672444800,1664496000,1.31,11/30/2022,4197129564,0.33903,3.46E+11,2,7/2/2010,1672358400,5.09,7.9940004,1,0.0084,30525197
MMM,2.329,0.18913999,-0.29279256,10.28,552742976,25.473,13605545,0.024600001,1640908800,0.68035007,6575000064,11.46,-0.123556376,4.8188276,0.0011,1672444800,1664496000,4.61,11/30/2022,552184645,0.986396,80967196672,2,9/30/2003,1672358400,-16.78,11.940661,1,0.024600001,13054280
DIS,2.853,0.03802,-0.3290882,5.32,1823590016,52.088,20429917,0.0112,1664582400,0.64975,3192999936,1.81,-0.123556376,1.9013976,0.00112,1696118400,1664582400,1.42,11/30/2022,1822114878,1.232996,2.36E+11,2,6/13/2007,1672358400,1.02,18.61654,1,0.0112,18020502
WBA,0.514,-0.02242,-0.33038735,4.84,862504000,23.861,28774859,0.0334,1661904000,0.61222,-2964000000,5.03,-0.123556376,1.4923935,0.17187001,1693440000,1669766400,5.62,11/15/2022,712936813,0.742588,67995381760,2,2/16/1999,1671062400,3.55,7.357438,1,0.0403,30575128
CRM,4.848,0.00918,-0.34758228,5.76,1000000000,59.89,10246470,0.010199999,1643587200,0.79890996,278000000,0.25,-0.123556376,2.4286191,0.03249,1675123200,1667174400,0.83,11/30/2022,959188900,1.129403,1.47E+11,2,4/18/2013,1672358400,1.66,25.251734,1,0.0106,9722804
INTC,1.954,0.19127001,-0.4463874,1.84,4127000064,24.203,72785355,0.0176,1640390400,0.63765997,13301000192,3.23,-0.123556376,1.1903483,0.00065,1671926400,1664582400,1.93,11/30/2022,4122996810,0.764562,1.36E+11,2,7/31/2000,1672358400,-0.63,15.657608,1,0.0176,67221371
